name,email,phone
Knowledge Expert,benoit.dubouloz@k-expert.com,+41796431542
ALEPH-Global Scrum Team ,training@aleph-technologies.com,(888) 955-9155
Detecon International GmbH,agile@detecon.com,+49 221 91612511
Softtek,jaime.palacios@softtek.com,(646) 175-0100
TenAgile LLC,info@tenagile.com,+1.445.500.9066
Larsen & Toubro Infotech Ltd.,,+91 20 66571212
UMS Consulting,academy@ums-gmbh.com,+49699130680
MI-GSO | PCUBED,info@migso-pcubed.com,
Nexient,amalik@nexient.com,510-404-8042
Maximus Federal,federalservices@maximus.com,(703) 712-4000
ScrumTrek,info@scrumtrek.ru,+7 (495) 374-88-12
Daily Agile,info@dailyagile.com,
Engaged Agility,matt@engagedagility.com,(210) 326-5415
Sefu Consulting,tom@ssgba.com,(390) 230-7007
Time People Group AB,mats.pehrson@objektfabriken.se,+46703985494
ZENIKA,catherine.carron@zenika.com,()
BestBrains Academy,event@bbacademy.dk,(45) 71992872
IQbusiness,rmoodley@iqbusiness.net,+27 11 259 4430
P3,alexander.badini@p3-group.com,+491637753262
BREJN,info@brejn.com,+46 70 840 69 60
TCI-Transformation Consulting International GmbH,info@tci-partners.com,+49 (0)621 4960840
IBM Watson IoT,safeinfo@bg.vnet.ibm.com,4915201856027
Makbol Agility Transformers,customer.service@makbol.com,424-272-1625
XU Group,ssa@xu.de,+49 30 959 999 990
ACDCAT,acdcatltd@gmail.com,+1(571) 443-8911
Adaptworks,contato@adaptworks.com.br,+55 11 2507-3563
Advised Skills Ltd (formerly Agile Center),support@advisedskills.com,+44 20 3598 3287
Agillium LLC,info@agillium.com,908-801-6176
LitheSpeed,info@lithespeed.com,(703) 745-9125
Open Source Consulting Inc.,dhgill@osci.kr,+82 2 516 0711
Acuna Consulting Inc,info@acunaconsulting.com,240-479-6084
Grupo Babel S.A.,,+506 4404-3600
Agile Phoenix,info@agilephoenixenterprises.com,
Agilemania,connect@agilemania.com,+60 17 327 5650
AgileSavant,info@agilesavant.com,(443) 831-1804
Agility in Mind,safe@agility.im,+44 330 043 0143
Estratecno,angel.campos@estratecno.es,+34 911124678
LeanWisdom,krishna@leanwisdom.com,+919008305027
Agile To Scale,info@agiletoscale.com,+447717760227
Agilizer,mail@agilizer-academy.com,+49 30 62939095
Connected Learning,,
Hawwa Enterprise Agile Coaching Inc.,info@agileacademy.ca,+15145157410
ISTEK Solutions,enquiries@isteksolutions.com,+61433414969
Kaizania,vanessa@kaizania.co.za,+27 83 432 41 96
Lean Agile Global,info@leanagileglobal.com,203 606 3412
LurnAgile,michael@lurnagile.com,(877) 421-4099
Tech Intellectuals,info@techintellectuals.com,(214) 205-3244
avega IT AG,daniel.aeschbacher@avega.ch,+41319341000
Open Systems Technologies,info@ostusa.com,616-574-3500
TISTA Science and Technology Corp,tista_safe@tistatech.com,(301) 968-3420
Skillbook Academy,info@skillbookacademy.com,(647) 338-3727
TecVeris,info@tecveris.com,(443) 994-9166
Agile Advanced by SynTrail,training@agileadvanced.com,+49 15153393784
Agilityzer,training@agilityzer.com,+1 646 383 8869
Crewcraft AG,azerilli@crewcraft.ch,+41 41 670 2000
CTG,,+32 2 720 51 70
iAskcAgile,aasim@askcsupply.com,(612) 254-2756
Itera,,+52 55 3300 0650
Macro Agile Solutions,info@macroagilesolutions.com,1(800)585-2494
Netmind,info@netmind.es,+34 933 041 720
Scagilize,info@scagilize.de,+49-521-988-51213
"SILICON TECH SOLUTIONS, INC",tojo@silicontechsolutions.com,510 371 3144
Softrams,,
Synergistic Agillity,info@synergisticagility.com,410-804-8642
Ahead Technology France,n.majcherczak@ahead-technology.com,+33 6804 38215
Forefront Consulting,eva-marie.ericson@forefront.se,(46) 841060000
Method Park,trainingcenter@methodpark.de,+49 (0)9131-97206-0
QUALTOP S.A. de C.V.,info@qualtop.com,
Sovereign Light Technologies,info@sovereignlighttechnologies.com,(346) 312-3238
SQLI,btisseur@sqli.com,+33689016429
successfactory management coaching gmbh,gamweger@successfactory.cc,+43 676 845322103
The Agile Coach,support@the-agile-coach.com,+447973218080
Agile Digest,niladri@agiledigest.com,(880) 011-2559
Agile Scaling Experts (ASE),support@agilescalingexperts.com,(469) 343-5430
Agilest,training@agilest.org,
Agilinks,contact@agilinks.com,+447879904917
Alpha-Consultora,ebazan@alpha-consultoria.com,+52 55 5286 3777
"B3 Group, Inc.",,(801) 674-1817
Brillio,subas.panda@brillio.com,+919019262604
Bush Agility,contact@bushagility.com,833-DO-AGILE
Business Agility Consulting,info@businessagility.biz,
Cask,,
Educushy,hello@educushy.com,+919773678894
Intelligent Agile,emory.lee@intelligentshift.com,(703) 967-0429
iZenBridge,sales@izenbridge.com,(991) 080-2551
Lean Icon Technology Training Ltd.,info@korsgill.co.uk,+44 7402945742
Peak Consulting Group A/S,info@peakconsulting.dk,+45 3526 2880
QA Limited,info@qa.com,+44 (0)3330604089
SimpliAxis LLC,support@simpliaxis.com,1-361-998-9988
TechTalk GmbH,richard.brenner@techtalk.at,+43 (1) 402 35 96 - 0
Chinasoft International,,
2Corn,office@2corn.one,
AgileMinds GmbH,,+41767703387
HZM consulting,info@hzmconsulting.ca,(514) 651-2822
MetierWestergaard A/S,info@metier.dk,+45 45881216
NovelVista Learning Solutions Pvt. Ltd.,,1800 212 2003
P2 Scaling Agile,rich.warren@p2consulting.com,02070990803
PMInside,ace@pminside.com,+82-10-6205-3010
ScrumCN,,400 696 6280
The Learning Initiative,sdin@learninginitiative.com,0097143693453
tryZone,info@tryzone.dk,+45 26 30 02 08
Digital.ai,info@digital.ai,(678) 268-3320
"American Technology Consulting, LLC",support@american-technology.net,856-475-8047
Agile36,d.stevenson@agile36.com,310-620-7966
Atlas Strategic Consulting,agiletraining@chooseatlas.com,
BTII Institute,,
Global Hitss,,
Lab Zero,info@labzero.com,(415)839-6861
Planit,info@planittesting.com,61 2 9464 0644
Sprint Agile,arash.arabi@sprintagile.com.au,0407 941 387
The Ambit Group,training@theambitgroup.com,571 401-8545
Threon NV,pmacademy@threon.com,+32 (0)9 220 45 20
Academy TAYLLORCOX,adela@tayllorcox.com,+420 606 028 753
Agile Continuous Integration,support@agilecontinuousintegration.com,(813) 766-0326
Agilocity Consulting,info@agilocity.co.za,+27718919728
ASG Group,asgacademy@asggroup.com.au,+61 3 9674 3333
Axioma Solutions,training@axioma.ro,+40771 229 763
CROSSTHINK,contact@crossthink.fr,+33483434748
Koniag Government Services LLC,,571-492-4537
Loihde Advisory Oy,info.advisory@loihdeadvisory.fi,
mimacom consulting ag,marc.rieben@mimacom.com,+41 31 329 09 00
TekWave,sales@thetekwave.com,
Torque IT,info@torque-it.com,+27 010 800 0000
WoW Agile,,+46 70 915 47 87
AgilityHealth,info@agilityhealthradar.com,(402) 858-0529
Accelerate Agility,contact@accelerateagility.org,+1 6233377857
"International Institute for Learning, Inc.",learning@iil.com,(212) 515-5128
LeanKanbanGuru Ltd,info@leankanbanguru.com,+1-236-888-1358
Learning Tree International,info@learningtree.com,(703) 925-6449
Acceler8 Agile,info@acceler8agile.com,+447809610852
Agile Tech Pro,info@agiletechpro.com,(647) 646-1816
Agilers,contato@agilers.com.br,+55 11 97327-8136
AgileTraining.co,info@agiletraining.co,(240) 529-5633
"An Agile State of Mind, LLC",,704-840-2328
AXP Academy,ovidiu@axpacademy.com,+40 723 640 959
Best Of Agile,hello@bestofagile.com,(678) 779-5620
Cenmic Management,michael.areola@cenmicmanagement.com,(832) 746-0909
Conlea sp. z o.o.,learn@conlea.pl,+48 58 732 71 08
delaPlex,sales@delaplex.com,
e-process,contacto@e-processmexico.com,+52 55 4812 7227
E5,customerservice@e5.consulting,+380 96 798 7788
Edgenda Group inc.,,(418) 626-2344
Empiric,info@empiriclab.in,
Epic Agility,info@epicagility.nl,+31 20 737 0335
Force Agile,support@forceagile.com,+46 730482615
Garranto Academy,agiletransformation@garranto.com,+65 9231 8743
Go Productivity,,
Institute for Strategy and Applied Project Management,info@isapm.org,+49 160 91922165
Ionov & Partners,info@ionovpartners.com,+7 495-215-2214
Jose Luis Lee & Asociados,ventas@joseleerazuri.blog,51 975690608
Mannaz A/S,info@mannaz.com,+4545176001
Maxpert GmbH,,+49 69 500650
Microtrain,request@microtrain.net,(630) 981-0200
Mike Idengren,mike@leanscaledarchitects.com,(267) 603-6857
"OST, INC",info@ostglobal.com,(703) 663-8990
Oz Aral,ozaral@aralbusinessconsultants.com,1-805-300-5052
Pragmatic Agility,info@pragmaticagility.in,+917980879396
Problem-To-Solution,info@problemtosolution.com,888-PTS-WINS
scaledV,info@scaledv.com,+919701999525
ScrumCraft,jason@scrumcraft.com,+61411655919
SNA Technologies,sdone@snatechnologies.com,248-719-2613
StarAgile Consulting,,+91 80502 05233.
Strategism LLC,,(415) 377-7536
Stratominds Capacitacion S.A. de C.V.,,
"Summit Next Global, LLC",,
Temus Private Ltd,,+6564333038
The New Agile Group LLC,training@thenewagilegroup.com,
vCare Project Management,,(650) 283-0123
Vinsys IT Services India Pvt. Ltd.,vishal.nalawade@vinsys.com,+91 20 25382807
Wensei by Kagilum,formation@kagilum.com,
Agilective,info@agilective.com,+44 7825 115551
Academia gil MiCurso'Land,capacitacion@micurso-land.com,+52 55 8311 4431
BPROJECT Consultoria,,523338176671
INPROGRESS,biuro@inprogress.pl,0048607999329
PM Ideas (Pty) Ltd,,+27117066684
Raymond Chike,info@freshanalyst.com,
RI Management Consulting Kft.,,
